id,posição,time,partidas,vitorias,empates,derrotas,pontos,Gols feitos,Gols sofridos,SG
1,1,Flamengo,11,7,3,1,24,24,4,20
2,2,Cruzeiro,12,7,3,2,24,17,8,9
3,3,Bragantino,12,7,2,3,23,14,11,3
4,4,Palmeiras,11,7,1,3,22,12,8,4
5,5,Bahia,12,6,3,3,21,14,11,3
6,6,Fluminense,11,6,2,3,20,15,12,3
7,7,Mineiro,12,5,5,2,20,13,10,3
8,8,Botafogo,11,5,3,3,18,14,7,7
9,9,Mirassol,11,4,5,2,17,17,12,5
10,10,Corinthians,12,4,4,4,16,13,15,-2
11,11,Grêmio,12,4,4,4,16,12,15,-3
12,12,Ceará,11,4,3,4,15,13,11,2
13,13,Vasco da Gama,12,4,1,7,13,14,16,-2
14,14,São Paulo,12,2,6,4,12,10,14,-4
15,15,Santos,12,3,2,7,11,11,14,-3
16,16,Vitória,12,2,5,5,11,10,14,-4
17,17,Internacional,12,2,5,5,11,12,18,-6
18,18,Fortaleza,12,2,4,6,10,12,18,-6
19,19,Juventude,11,2,2,7,8,8,24,-16
20,20,Recife,11,0,3,8,3,5,18,-13
